step,mloss,gloss,loss
100.0,1.572,1148.3402,1149.9122
200.0,1.156,1.0012,2.1572
300.0,1.1319,1.0041,2.136
400.0,1.1217,1.0013,2.123
500.0,1.1089,0.9997,2.1086
600.0,1.1032,0.9999,2.1031
700.0,1.0884,1.001,2.0894
800.0,1.0711,0.9969,2.068
900.0,1.0792,0.9985,2.0777
1000.0,1.0552,0.9894,2.0446
1100.0,1.0306,0.9656,1.9962
1200.0,1.032,0.9549,1.9869
1300.0,1.02,0.9334,1.9534
1400.0,1.0215,0.9319,1.9534
1500.0,1.0131,0.9298,1.9429
1600.0,1.0145,0.9251,1.9396
1700.0,1.003,0.9262,1.9292
1800.0,0.9988,0.9218,1.9206
1900.0,1.0111,0.9193,1.9304
2000.0,0.9848,0.9172,1.902
2100.0,0.9885,0.9198,1.9083
2200.0,0.9982,0.9161,1.9143
2300.0,0.9816,0.912,1.8936
2400.0,0.9667,0.9085,1.8752
2500.0,0.9866,0.9108,1.8974
2600.0,0.9745,0.9045,1.879
2700.0,0.9668,0.9063,1.8731
2800.0,0.9719,0.9031,1.875
2900.0,0.9629,0.9017,1.8646
3000.0,0.9608,0.9002,1.861
3100.0,1.071,0.9386,2.0096
3200.0,0.981,0.9072,1.8882
3300.0,0.9645,0.8966,1.8611
3400.0,0.9733,0.8862,1.8595
3500.0,0.9764,0.8648,1.8412
3600.0,0.9562,0.8521,1.8083
3700.0,0.9517,0.8345,1.7862
3800.0,0.9516,0.8251,1.7767
3900.0,0.9568,0.825,1.7818
4000.0,0.9488,0.8149,1.7637
4100.0,0.9422,0.8123,1.7545
4200.0,0.9358,0.8106,1.7464
4300.0,0.9346,0.8124,1.747
4400.0,0.9347,0.8037,1.7384
4500.0,0.9357,0.7907,1.7264
4600.0,0.9232,0.7741,1.6973
4700.0,0.9365,0.7485,1.685
4800.0,0.9311,0.7491,1.6802
4900.0,0.9208,0.7247,1.6455
5000.0,0.9335,0.7225,1.656
5100.0,0.9218,0.725,1.6468
5200.0,0.9207,0.7209,1.6416
5300.0,0.9204,0.7154,1.6358
5400.0,0.9247,0.7198,1.6445
5500.0,0.9064,0.712,1.6184
5600.0,0.9229,0.7124,1.6353
5700.0,0.916,0.7128,1.6288
5800.0,0.9109,0.7095,1.6204
5900.0,0.9105,0.7077,1.6182
6000.0,0.9049,0.7054,1.6103
6100.0,0.9114,0.7082,1.6196
6200.0,0.9039,0.7053,1.6092
6300.0,0.9032,0.7018,1.605
6400.0,0.9038,0.6924,1.5962
6500.0,0.9058,0.6698,1.5756
6600.0,0.9083,0.6524,1.5607
6700.0,0.906,0.6499,1.5559
6800.0,0.9091,0.6407,1.5498
6900.0,0.9054,0.6395,1.5449
7000.0,0.9137,0.6315,1.5452
7100.0,0.9105,0.6324,1.5429
7200.0,0.9006,0.6271,1.5277
7300.0,0.9022,0.6275,1.5297
7400.0,0.895,0.6319,1.5269
7500.0,0.9005,0.6296,1.5301
7600.0,0.9073,0.6234,1.5307
7700.0,0.8943,0.6284,1.5227
7800.0,0.8933,0.6203,1.5136
7900.0,0.8902,0.6213,1.5115
8000.0,0.8919,0.6215,1.5134
8100.0,0.8875,0.6206,1.5081
8200.0,0.8909,0.6178,1.5087
8300.0,0.8918,0.6201,1.5119
8400.0,0.8932,0.6155,1.5087
8500.0,0.9023,0.6166,1.5189
8600.0,0.8992,0.6181,1.5173
8700.0,0.9068,0.6184,1.5252
8800.0,0.8911,0.62,1.5111
8900.0,0.893,0.6147,1.5077
9000.0,0.909,0.6151,1.5241
9100.0,0.8997,0.6154,1.5151
9200.0,0.8907,0.613,1.5037
9300.0,0.8885,0.6128,1.5013
9400.0,0.888,0.6113,1.4993
9500.0,0.8867,0.6079,1.4946
9600.0,0.8946,0.6127,1.5073
9700.0,0.8862,0.6098,1.496
9800.0,0.8851,0.6108,1.4959
9900.0,0.8966,0.6098,1.5064
10000.0,0.8863,0.6112,1.4975
